GTCBSA,ALL_fpll,SOCIAL_fpll,CARE_fpll,K1_deaths,K2_deaths,K3_deaths,K1_cases,K2_cases,K3_cases,LOG_POP,%_REPUBLICAN,%_DEMOCRAT,%_OTHER_VOTES,%_GREEN,%_LIBERTARIAN,Perc.Native,workplace_close_H,stay_at_home_H,school_closing_H,cancel_events_H,close_transit_H,movement_restriction_H
12700,0.170585075,0.170585075,0.039363163,0.171179714,0,0.013847624,0.555825934,0.003457549,0.021756051,5.329389743,0.365060193,0.607173029,0.011306035,0.004210888,0.012249855,66.9,0.718367347,1,0.155102041,1,0.044897959,0.885714286
12740,0,0,0,0,0,0.048921358,0.197594009,0.010847221,0.107744468,4.76604086,0.246482661,0.710573248,0.02935598,0.004416136,0.009171975,0,1,1,0.530612245,0.648979592,0,1
12780,0,0,0,0.183870364,0.00361683,0.012705664,0.224268671,0.011584196,0.019846485,4.715050191,0.726607378,0.246372495,0.008084762,0,0.018935364,0,0.930612245,0.285714286,0.028571429,0,0,0.359183673
12860,0,0,0,0.064317688,0,0.070248423,0.178934568,0.004763742,0.037977115,4.761987944,0.641364548,0.327036118,0.012401889,0.003703578,0.015493867,0,0.555102041,0.902040816,0.502040816,0.591836735,1,1
12900,0,0,0,0,0.072586019,0.060798879,0.091908721,0.106630305,0.021715964,4.736922119,0.775220507,0.193357222,0.019707828,0.001584895,0.010129548,0,0.946938776,1,0.665306122,1,0,1
12940,0.256205404,0.20545866,0.038917787,0.185269606,0.009814423,0.00592677,0.644938497,0.024540521,0.014790303,5.931619557,0.546721611,0.434346375,0.007415536,0,0.011516477,83.3,1,1,0.383673469,1,0,1
12980,0.139311689,0.12766282,0.044963566,0.195464669,0.019082204,0.025545744,0.344567139,0.015227128,0.02809702,5.127791348,0.546476366,0.435675382,0.002353616,0.002066957,0.013427679,83.1,0.657142857,0.987755102,0.636734694,0.371428571,0,1
13020,0,0,0,0.04362597,0.015980121,0.026375413,0.15824542,0,0.041069989,5.017467417,0.549746909,0.434005477,0.002257074,0.002572401,0.01141814,91.3,0.657142857,0.987755102,0.636734694,0.371428571,0,1
13060,0,0,0,0.171425509,0.170762643,0.006199836,0.217236165,0.048679489,0.010976047,4.565540872,0.717199679,0.2719458,7.28E-05,0.002404021,0.00837765,0,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
13100,0,0,0,0,0,0.054887065,0.519549645,0.020037537,0.037640889,4.334333097,0.67265992,0.305836646,0,0,0.021503433,0,0.604081633,0.889795918,0.563265306,0.469387755,1,1
13140,0.156764288,0.153402084,0.048088194,0.161553052,0.054021534,0.007737894,0.411521507,0.033006726,0.012152832,5.596788363,0.641383252,0.347010615,0.000267506,0.001714473,0.009624153,76.9,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
13180,0,0,0,0.171425509,0.039625968,0.051685312,0.23104906,0.01780777,0.034852404,4.943073868,0.647349079,0.337682715,0.003695598,0.000227104,0.011045503,86.8,0.375510204,0.946938776,0.048979592,0.048979592,0,0.946938776
